date_index,steps,exercise_minutes,stand_hours,sleep,active_calories,resting_calories,total_calories,walk_distance,resting_hr
1,12161,73,12,8,475,1462,1937,6,50
2,2986,35,11,10,278,1434,1712,1.4,50
3,8479,54,9,7,368,1441,1809,4.3,51
4,11570,143,14,6,919,1504,2423,5.7,49
5,6304,29,12,7,322,1464,1786,3.1,55
6,10933,94,11,7,654,1487,2141,5.3,51
7,10885,63,9,7,419,1465,1884,5.3,53
8,10191,114,12,10,781,1479,2260,5.2,52
9,6282,42,8,10,343,1445,1788,3.1,52
10,1955,2,5,10,110,1393,1503,0.99,50
11,11153,72,13,7,484,1484,1968,5.4,52
12,5237,22,11,7,233,1429,1662,2.5,57
13,12433,75,11,7,502,1483,1985,6.1,52
14,10459,68,13,7,450,1478,1928,5.3,55
15,7820,73,14,7,497,1473,1970,3.9,51
16,10879,51,13,5,480,1502,1982,5.2,51
17,8022,114,12,7,666,1485,2151,4,62
18,13739,52,15,8,471,1484,1955,6.4,54
19,7535,36,13,7,390,1462,1852,3.7,53
20,10873,114,15,8,699,1489,2188,5.1,53
21,7662,35,13,7,350,1454,1804,3.6,56
22,13829,156,15,8,875,1506,2381,6.8,52
23,8077,30,15,9,311,1445,1756,3.9,53
24,4652,12,12,6,246,1443,1689,2.2,53
25,12277,148,16,7,910,1504,2414,5.9,51
26,10613,62,16,6,477,1516,1993,5.2,58
27,12352,131,14,9,828,1496,2324,6.1,53
28,7340,38,14,9,391,1486,1877,3.7,51
29,8899,95,13,7,743,1482,2225,4.4,49
30,5789,23,15,10,297,1457,1754,2.8,51
31,10682,68,16,6,502,1508,2010,5.3,51
32,11439,59,14,7,420,1464,1884,5.5,50
33,10395,43,15,4,491,1524,2015,5.1,52
34,13086,122,14,5,578,1490,2068,6.2,53
35,5355,18,12,5,266,1437,1703,2.5,55
36,11781,152,14,6,1022,1517,2539,5.6,51
37,5158,4,12,5,249,1492,1741,2.3,59
38,9652,35,14,7,394,1495,1889,4.4,58
39,14222,139,13,7,938,1510,2448,6.5,52
40,10870,62,14,8,498,1497,1995,5.2,53
41,10020,124,13,7,823,1487,2310,5,53
42,10622,59,12,8,419,1472,1891,5.2,51
43,11016,91,15,6,576,1484,2060,5.5,52
44,10966,54,15,6,428,1490,1918,5.5,53
45,9844,74,13,7,447,1465,1912,5,51
46,11527,140,14,8,829,1495,2324,5.8,53
47,7019,31,14,9,349,1475,1824,3.5,53
48,10815,124,15,6,701,1491,2192,5.5,51
49,9920,61,14,4,405,1488,1893,5,52
50,10202,33,11,10,301,1459,1760,4.9,53
51,11198,44,13,10,414,1482,1896,5.4,55
52,9349,71,12,8,433,1478,1911,4.3,55
53,12933,60,13,8,456,1472,1928,6,58
54,8384,68,12,9,512,1491,2003,3.9,50
55,9275,40,13,8,355,1457,1812,4.4,54
56,10126,50,14,9,417,1494,1911,4.9,48
57,12056,62,15,7,478,1504,1982,5.8,54
58,12844,68,15,8,434,1499,1933,6,54
59,10560,96,13,6,699,1502,2201,5,52
60,11238,45,13,8,402,1487,1889,5.4,51
61,12887,47,13,3,492,1515,2007,6.1,59
62,8568,50,15,7,352,1457,1809,4.2,59
63,9739,103,12,7,750,1492,2242,4.9,52
64,10676,68,13,8,422,1481,1903,5.2,57
65,6764,84,13,9,556,1479,2035,3.3,57
66,13279,81,14,8,497,1498,1995,6.3,53
67,12548,74,14,8,477,1467,1944,6.2,52
68,7386,56,12,8,301,1424,1725,3.6,56
69,9868,144,14,8,886,1473,2359,5,52
70,9702,59,12,7,383,1455,1838,4.8,52
71,11187,170,14,7,869,1497,2366,5.6,54
72,9859,42,12,6,344,1449,1793,4.7,53
^^31 march,,,,,,,,,
